id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Kings,Blockprint,hip hop,energetic,0.85,95,0.70,0.87,0.08
12,Winter Nocturne,Elias Farr,classical,melancholy,0.30,66,0.25,0.20,0.95
13,Island Time,Palm Riddim,reggae,dreamy,0.55,98,0.72,0.75,0.40
14,Iron Verdict,Ashfall,metal,angry,0.98,160,0.30,0.45,0.03
15,Dust Road Home,Sarah Wren,country,nostalgic,0.50,100,0.55,0.55,0.70
16,Neon Horizon,Pulsewave,edm,euphoric,0.95,128,0.88,0.92,0.04
17,Empty Barroom,Cadillac Moon,blues,sad,0.40,84,0.28,0.48,0.75
18,Velvet Letter,June Amara,soul,romantic,0.52,92,0.68,0.62,0.55
19,Open Fields,The Willow Road,folk,hopeful,0.45,104,0.66,0.50,0.88
20,Bassment Party,Groove Machine,funk,playful,0.80,116,0.85,0.90,0.15
